coin,telegram_links
tether,"[""https://t.me/OfficialTether""]"
bnb,"[""https://t.me/binanceexchange""]"
cardano,"[""https://t.me/Cardano""]"
solana,"[""https://t.me/solana""]"
polkadot-new,"[""https://t.me/PolkadotOfficial""]"
avalanche,"[""https://t.me/avalancheavax""]"
polygon,"[""https://t.me/polygonofficial""]"
shiba-inu,"[""http://t.me/shibainuthedogecoinkiller""]"
tron,"[""http://t.me/tronnetworkEN""]"
ethereum-classic,"[""https://telegram.me/ethclassic""]"
unus-sed-leo,"[""https://t.me/bfxtelegram""]"
litecoin,"[""https://telegram.me/litecoin""]"
near-protocol,"[""https://t.me/cryptonear""]"
chainlink,"[""https://t.me/chainlinkofficial""]"
ftx-token,"[""https://t.me/FTX_Official""]"
cronos,"[""https://t.me/CryptoComOfficial""]"
cosmos,"[""https://t.me/cosmosproject""]"
monero,"[""https://telegram.me/monero""]"
flow,"[""https://t.me/flow_blockchain""]"
algorand,"[""https://t.me/AlgorandFoundation""]"
vechain,"[""https://t.me/vechain_official_english""]"
internet-computer,"[""https://t.me/DFinity""]"
decentraland,"[""https://t.me/DecentralandTG""]"
the-sandbox,"[""https://t.me/sandboxgame""]"
tezos,"[""https://t.me/tezosplatform""]"
hedera,"[""https://t.me/hederahashgraph""]"
axie-infinity,"[""https://t.me/axieinfinity""]"
aave,"[""https://t.me/Aavesome""]"
quant,"[""https://t.me/QuantOverledger"",""https://t.me/quantnetworkannouncements""]"
elrond-egld,"[""https://t.me/ElrondNetwork""]"
okb,"[""https://t.me/okexofficial_en""]"
trueusd,"[""https://t.me/TUSDofficial_EN""]"
zcash,"[""https://t.me/Zcash_Community""]"
chiliz,"[""https://t.me/chiliz_io""]"
helium,"[""https://t.me/helium_network""]"
maker,"[""https://t.me/makerdaoOfficial""]"
fantom,"[""https://t.me/Fantom_English""]"
the-graph,"[""https://t.me/GraphProtocol""]"
thorchain,"[""https://t.me/thorchain_org""]"
bittorrent-new,"[""https://t.me/BTTBitTorrent""]"
lido-dao,"[""https://t.me/lidofinance""]"
klaytn,"[""https://t.me/Klaytn_EN""]"
ecash,"[""https://t.me/ecash_official""]"
celsius,"[""https://t.me/celsiusnetwork""]"
neo,"[""https://t.me/NEO_EN""]"
curve-dao-token,"[""https://t.me/curvefi""]"
usdd,"[""https://t.me/usddio""]"
pancakeswap,"[""https://t.me/PancakeSwap""]"
basic-attention-token,"[""https://t.me/batproject""]"
neutrino-usd,"[""https://t.me/neutrino_group"",""https://t.me/neutrino_protocol_news""]"
waves,"[""https://t.me/Wavescommunity""]"
stacks,"[""https://t.me/StacksChat""]"
enjin-coin,"[""https://t.me/enjin""]"
loopring,"[""https://t.me/loopring_en""]"
zilliqa,"[""https://t.me/zilliqachat""]"
dash,"[""https://t.me/dash_chat""]"
green-metaverse-token,"[""https://t.me/STEPNofficial""]"
nexo,"[""https://t.me/nexofinance""]"
kava,"[""https://t.me/kavalabs""]"
